date,season,home_team,away_team,home_pts,away_pts,home_win,margin
2026-05-26,2016,CHI,CLE,97,95,1,2
2026-05-26,2022,WAS,ATL,122,111,1,11
2026-05-26,2022,PHI,DET,110,102,1,8
2026-05-26,2022,HOU,UTA,91,122,0,31
2026-05-26,2022,CHI,NYK,103,104,0,1
2026-05-26,2022,DAL,SAS,104,99,1,5
2026-05-26,2022,GSW,MEM,101,104,0,3
2026-05-26,2022,TOR,ORL,110,109,1,1
2026-05-26,2022,MIA,CHA,114,99,1,15
2026-05-26,2022,BRK,IND,105,98,1,7
2026-05-26,2022,NOP,SAC,109,113,0,4
2026-05-26,2022,DEN,DAL,106,75,1,31
2026-05-26,2022,POR,LAC,111,92,1,19
2026-05-26,2022,LAL,CLE,113,101,1,12
2026-05-26,2022,WAS,BOS,115,112,1,3
2026-05-26,2022,DET,ORL,110,103,1,7
2026-05-26,2022,NOP,NYK,117,123,0,6
2026-05-26,2022,IND,TOR,94,97,0,3
2026-05-26,2022,PHI,ATL,122,94,1,28
2026-05-26,2022,CHI,UTA,107,99,1,8
2026-05-26,2022,LAC,CLE,79,92,0,13
2026-05-26,2022,POR,MEM,116,96,1,20
2026-05-26,2022,PHX,SAC,107,110,0,3
2026-05-26,2022,OKC,LAL,123,115,1,8
2026-05-26,2022,CHA,BOS,129,140,0,11
2026-05-26,2022,IND,MIL,109,119,0,10
2026-05-26,2022,TOR,CHI,108,111,0,3
2026-05-26,2022,MIA,ORL,107,90,1,17
2026-05-26,2022,BRK,WAS,104,90,1,14
2026-05-26,2022,ATL,DET,122,104,1,18
2026-05-26,2022,MIN,NOP,98,107,0,9
2026-05-26,2022,DEN,CLE,87,99,0,12
2026-05-26,2022,LAC,POR,116,86,1,30
2026-05-26,2022,MEM,MIA,103,129,0,26
2026-05-26,2022,NYK,PHI,112,99,1,13
2026-05-26,2022,SAS,LAL,121,125,0,4
2026-05-26,2022,DAL,HOU,116,106,1,10
2026-05-26,2022,UTA,DEN,122,110,1,12
2026-05-26,2022,ORL,CHA,111,120,0,9
2026-05-26,2022,BOS,WAS,107,116,0,9
2026-05-26,2022,BRK,MIA,93,106,0,13
2026-05-26,2022,TOR,IND,118,100,1,18
2026-05-26,2022,NOP,ATL,99,102,0,3
2026-05-26,2022,MIL,MIN,108,113,0,5
2026-05-26,2022,OKC,GSW,98,106,0,8
2026-05-26,2022,LAL,MEM,121,118,1,3
2026-05-26,2022,MIL,SAS,93,102,0,9
2026-05-26,2022,MIN,DEN,91,93,0,2
2026-05-26,2023,WAS,CHI,102,100,1,2
2026-05-26,2023,ATL,ORL,108,98,1,10
2026-05-26,2023,BRK,TOR,109,105,1,4
2026-05-26,2023,MIA,BOS,104,111,0,7
2026-05-26,2023,NYK,DET,130,106,1,24
2026-05-26,2023,HOU,MEM,122,129,0,7
2026-05-26,2023,MIN,UTA,126,132,0,6
2026-05-26,2023,GSW,DEN,123,128,0,5
2026-05-26,2023,POR,PHX,113,111,1,2
2026-05-26,2023,PHI,SAS,105,114,0,9
2026-05-26,2023,IND,DET,124,115,1,9
2026-05-26,2023,ORL,BOS,120,126,0,6
2026-05-26,2023,CHI,CLE,96,128,0,32
2026-05-26,2023,MIA,TOR,112,109,1,3
2026-05-26,2023,MIL,HOU,125,105,1,20
2026-05-26,2023,DAL,MEM,137,96,1,41
2026-05-26,2023,DEN,OKC,122,117,1,5
2026-05-26,2023,SAC,LAC,109,111,0,2
2026-05-26,2023,LAL,POR,104,106,0,2
