game_date,team,latest_report_datetime,out_count,doubtful_count,questionable_count,probable_count,available_count,weighted_injury_score,reported_player_count,estimated_absence_days_total,estimated_absence_days_max,injury_impact_score,long_term_absence_count
2021-10-19,BRK,2021-10-19 17:00:00,1,0,0,0,0,1.0,1,5.0,5.0,5.0,0
2021-10-19,GSW,2021-10-19 17:00:00,4,0,0,0,0,4.0,4,236.0,180.0,236.0,3
2021-10-19,LAL,2021-10-19 17:00:00,3,0,1,1,0,3.75,5,48.0,14.0,34.0,1
2021-10-19,MIL,2021-10-19 17:00:00,4,0,0,0,0,4.0,4,147.0,120.0,147.0,2
2021-10-20,BOS,2021-10-20 17:00:00,2,0,1,0,0,2.5,3,15.0,7.0,11.15,0
2021-10-20,CHA,2021-10-20 17:00:00,0,0,1,1,0,0.75,2,13.0,10.0,4.95,0
2021-10-20,CHI,2021-10-20 17:00:00,1,0,0,0,1,1.0,2,9.0,5.0,4.0,0
2021-10-20,CLE,2021-10-20 17:00:00,1,1,0,0,0,1.75,2,13.0,10.0,10.5,0
2021-10-20,DEN,2021-10-20 17:00:00,1,0,0,1,0,1.25,2,10.0,7.0,7.45,0
2021-10-20,DET,2021-10-20 17:00:00,3,0,0,0,0,3.0,3,24.0,10.0,24.0,0
2021-10-20,HOU,2021-10-20 17:00:00,1,0,1,0,0,1.5,2,8.0,5.0,6.35,0
2021-10-20,IND,2021-10-20 17:00:00,3,0,2,1,0,4.25,6,58.0,25.0,48.3,2
2021-10-20,MEM,2021-10-20 17:00:00,1,0,0,0,0,1.0,2,30.0,25.0,26.25,1
2021-10-20,MIN,2021-10-20 17:00:00,1,0,2,0,0,2.0,4,23.0,10.0,12.1,0
2021-10-20,NOP,2021-10-20 17:00:00,1,0,1,0,0,1.5,3,33.0,25.0,27.6,1
2021-10-20,NYK,2021-10-20 17:00:00,1,1,0,0,0,1.75,2,8.0,5.0,7.25,0
2021-10-20,ORL,2021-10-20 17:00:00,5,0,0,0,0,5.0,5,36.0,12.0,36.0,0
2021-10-20,PHI,2021-10-20 17:00:00,3,0,0,0,0,3.0,3,22.0,10.0,22.0,0
2021-10-20,PHX,2021-10-20 17:00:00,1,0,0,0,0,1.0,2,245.0,240.0,241.25,1
2021-10-20,POR,2021-10-20 17:00:00,1,0,0,0,0,1.0,1,3.0,3.0,3.0,0
2021-10-20,SAC,2021-10-19 17:00:00,0,0,0,0,0,0.0,1,5.0,5.0,1.25,0
2021-10-20,SAS,2021-10-20 17:00:00,2,0,0,0,1,2.0,4,61.0,45.0,51.25,1
2021-10-20,TOR,2021-10-20 17:00:00,2,0,1,0,0,2.5,3,20.0,10.0,18.35,0
2021-10-20,UTA,2021-10-20 17:00:00,2,0,0,1,0,2.25,4,21.0,7.0,14.7,0
2021-10-20,WAS,2021-10-20 17:00:00,3,0,0,0,0,3.0,3,26.0,14.0,26.0,1
2021-10-21,ATL,2021-10-21 17:00:00,1,0,2,1,0,2.25,4,16.0,7.0,10.15,0
2021-10-21,DAL,2021-10-21 17:00:00,2,0,0,0,0,2.0,2,10.0,5.0,10.0,0
2021-10-21,GSW,2021-10-21 17:00:00,3,0,0,0,0,3.0,4,40.0,21.0,36.25,1
2021-10-21,LAC,2021-10-21 17:00:00,5,0,0,0,0,5.0,6,265.0,240.0,261.25,1
