game_date,game_time,matchup,team,player_name,status,reason,report_datetime
2021-10-19,07:30 (ET),BKN@MIL,BRK,"Irving, Kyrie",Out,Not With Team,2021-10-19 17:00:00
2021-10-19,07:30 (ET),BKN@MIL,MIL,"DiVincenzo, Donte",Out,Injury/Illness - Left Ankle; Reconstruction Surgery,2021-10-19 17:00:00
2021-10-19,07:30 (ET),BKN@MIL,MIL,"Hood, Rodney",Out,Injury/Illness - Right Foot; Soreness,2021-10-19 17:00:00
2021-10-19,07:30 (ET),BKN@MIL,MIL,"Ojeleye, Semi",Out,Injury/Illness - Left Calf; Strain,2021-10-19 17:00:00
2021-10-19,07:30 (ET),BKN@MIL,MIL,"Portis, Bobby",Out,Injury/Illness - Left Hamstring; Strain,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,GSW,"Dowtin, Jeff",Out,Not With Team,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,GSW,"Kuminga, Jonathan",Out,Injury/Illness - Right Knee; Patellar Tendon Strain,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,GSW,"Thompson, Klay",Out,Injury/Illness - Right Achilles Tendon; Repair,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,GSW,"Wiseman, James",Out,Injury/Illness - Right Knee; Meniscus Tear,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,LAL,"Ariza, Trevor",Out,Injury/Illness - Right Ankle; Injury Recovery,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,LAL,"Ellington, Wayne",Out,Injury/Illness - Left Hamstring; Strain,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,LAL,"Horton-Tucker, Talen",Out,Injury/Illness - Right Thumb; Injury Recovery,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,LAL,"Monk, Malik",Probable,Injury/Illness - Right Groin; Strain,2021-10-19 17:00:00
2021-10-19,10:00 (ET),GSW@LAL,LAL,"Nunn, Kendrick",Questionable,Injury/Illness - Right Ankle; Sprain,2021-10-19 17:00:00
2021-10-20,07:00 (ET),CHI@DET,CHI,"Brown Jr., Troy",Questionable,Injury/Illness - N/a; Illness,2021-10-19 17:00:00
2021-10-20,07:00 (ET),CHI@DET,CHI,"White, Coby",Out,Injury/Illness - Left Shoulder; Injury Management,2021-10-19 17:00:00
2021-10-20,07:00 (ET),CHI@DET,DET,"Cunningham, Cade",Out,Injury/Illness - Right Ankle; Sprain,2021-10-19 17:00:00
